id;first_name;last_name;email;hire_date
1;Micaela;Corona Lomeli;Horacio_ArceGalarza@yahoo.com;2025-07-06
2;Jesús;Rico Tafoya;Maica.OzunaCasanova87@gmail.com;2025-07-07
3;María;Sotelo Cintrón;Conchita.ZaragozaSevilla@gmail.com;2025-07-07
4;Teresa;Urbina Vélez;Jorge.RamosSarabia88@hotmail.com;2025-07-07
5;Catalina;Aguayo Olivas;Mayte.EscamillaGuillen0@gmail.com;2025-07-06
6;Santiago;Rubio Jurado;Armando67@hotmail.com;2025-07-07
7;Florencia;Guillén Villalobos;Alejandro.ManzanaresSanchez75@gmail.com;2025-07-07
8;Cristóbal;Jurado Esquibel;Jacobo.PedrazaReyes@yahoo.com;2025-07-07
9;Óscar;Villalpando Abrego;Luis.ChavezMalave@yahoo.com;2025-07-07
10;Pablo;Toro Rojo;Mariana7@hotmail.com;2025-07-07
