id;first_name;last_name;email;enrollment_date
1;Hernán;Angulo Maya;Gregorio60@yahoo.com;2025-07-07
2;Irene;Tamayo Estrada;Emilio_EscobedoLinares58@yahoo.com;2025-07-07
3;Tomás;Valverde Salazar;Angela.ValenzuelaBanda50@gmail.com;2025-07-07
4;Carla;Orellana Botello;Timoteo46@yahoo.com;2025-07-06
5;Horacio;Leal Linares;Ignacio_ArceRenteria72@gmail.com;2025-07-07
6;Marta;Trujillo Saldaña;Soledad_RosalesTeran@gmail.com;2025-07-07
7;Emilio;Reynoso Cárdenas;Victoria.CanoBetancourt@yahoo.com;2025-07-07
8;Armando;Nevárez Maestas;Guillermina1@yahoo.com;2025-07-07
9;Esperanza;Matos Osorio;Mayte.BerriosValencia@yahoo.com;2025-07-07
10;Carles;Abeyta Sosa;Guillermina.MunizNieves90@yahoo.com;2025-07-07
